longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
94.6695,30.9054,中国,西藏自治区,昌都市,边坝县,草卡镇
92.42228,30.48059,中国,西藏自治区,那曲市,嘉黎县,措多乡
98.71105,27.76344,中国,云南省,怒江傈僳族自治州,贡山独龙族怒族自治县,茨开镇
99.59232,24.82894,中国,云南省,保山市,昌宁县,田园镇
96.76667,39.86667,中国,甘肃省,酒泉市,玉门市,昌马镇
81.17511,30.29559,中国,西藏自治区,阿里地区,普兰县,普兰镇
90.18183,30.99411,中国,西藏自治区,那曲市,班戈县,保吉乡
98.27297,30.86004,中国,西藏自治区,昌都市,贡觉县,莫洛镇
81.5,36.7,中国,新疆维吾尔自治区,和田地区,于田县,兰干乡
96.51447,32.07512,中国,青海省,玉树藏族自治州,囊谦县,白扎乡
93.85241,29.79923,中国,西藏自治区,林芝市,巴宜区,百巴镇
94.35892,29.65812,中国,西藏自治区,林芝市,巴宜区,觉木街道
97.41575,35.92907,中国,青海省,海西蒙古族藏族自治州,都兰县,巴隆乡
99.16366,25.11626,中国,云南省,保山市,隆阳区,九隆街道
99.32483,27.19582,中国,云南省,迪庆藏族自治州,维西傈僳族自治县,保和镇
94.83675,30.83198,中国,西藏自治区,昌都市,边坝县,边坝镇
97.15459,32.82427,中国,青海省,玉树藏族自治州,玉树市,巴塘乡
96.91852,30.05752,中国,西藏自治区,昌都市,八宿县,白玛镇
96.52141,33.89783,中国,青海省,玉树藏族自治州,曲麻莱县,巴干乡
81.96667,36.46667,中国,新疆维吾尔自治区,和田地区,于田县,阿羌乡
93.24297,30.64536,中国,西藏自治区,那曲市,嘉黎县,阿扎镇
76.17138,39.71085,中国,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿图什市,幸福街道
77.24917,37.96111,中国,新疆维吾尔自治区,喀什地区,叶城县,依力克其乡
79.73167,37.07694,中国,新疆维吾尔自治区,和田地区,和田县,拉依喀乡
79.65833,37.14972,中国,新疆维吾尔自治区,和田地区,墨玉县,萨依巴格乡
81.60765,36.75541,中国,新疆维吾尔自治区,和田地区,于田县,阿日希乡
81.50972,36.88639,中国,新疆维吾尔自治区,和田地区,于田县,斯也克乡
81.67833,36.96583,中国,新疆维吾尔自治区,和田地区,于田县,英巴格乡
82.81528,37.07861,中国,新疆维吾尔自治区,和田地区,民丰县,若克雅乡
76.57337,39.12619,中国,新疆维吾尔自治区,喀什地区,岳普湖县,阿其克乡
81.09417,36.97861,中国,新疆维吾尔自治区,和田地区,策勒县,达玛沟乡
81.07583,43.12278,中国,新疆维吾尔自治区,伊犁哈萨克自治州,昭苏县,洪纳海镇
97.2,40.28333,中国,甘肃省,酒泉市,玉门市,下西号镇
86.25675,41.33662,中国,新疆维吾尔自治区,巴音郭楞蒙古自治州,尉犁县,尉犁镇
95.8,40.5,中国,甘肃省,酒泉市,瓜州县,国营小宛农场
81.51804,43.97799,中国,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁县,吉里于孜镇
79.46861,41.3525,中国,新疆维吾尔自治区,阿拉尔市,阿拉尔市,永宁镇
86.56632,42.06204,中国,新疆维吾尔自治区,巴音郭楞蒙古自治州,焉耆回族自治县,焉耆镇
94.66383,40.12607,中国,甘肃省,酒泉市,敦煌市,月牙泉镇
88.01785,47.35574,中国,新疆维吾尔自治区,阿勒泰地区,阿勒泰市,切尔克齐乡
83.24959,43.42649,中国,新疆维吾尔自治区,伊犁哈萨克自治州,新源县,新源镇
82.61667,41.55028,中国,新疆维吾尔自治区,阿克苏地区,新和县,新和镇
94.99059,40.5385,中国,甘肃省,酒泉市,瓜州县,西湖镇
89.73856,44.06593,中国,新疆维吾尔自治区,昌吉回族自治州,奇台县,西地镇
97.11763,40.31878,中国,甘肃省,酒泉市,玉门市,下西号镇
85.04457,45.1285,中国,新疆维吾尔自治区,克拉玛依市,克拉玛依区,小拐乡
87.9663,47.79623,中国,新疆维吾尔自治区,阿勒泰地区,阿勒泰市,切木尔切克镇
86.23456,46.3434,中国,新疆维吾尔自治区,塔城地区,和布克赛尔蒙古自治县,夏孜盖乡
82.76537,41.22642,中国,新疆维吾尔自治区,阿克苏地区,沙雅县,沙雅镇
79.225,41.15167,中国,新疆维吾尔自治区,阿克苏地区,乌什县,阿克托海镇
94.80535,40.16951,中国,甘肃省,酒泉市,敦煌市,莫高镇
80.23816,41.26996,中国,新疆维吾尔自治区,阿克苏地区,温宿县,温宿镇
84.67623,44.43105,中国,新疆维吾尔自治区,塔城地区,乌苏市,虹桥街道
87.60046,43.80096,中国,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,扬子江路街道
85.67769,46.11651,中国,新疆维吾尔自治区,克拉玛依市,乌尔禾区,乌尔禾镇
89.17886,42.94769,中国,新疆维吾尔自治区,吐鲁番市,高昌区,老城路街道
79.96278,41.36861,中国,新疆维吾尔自治区,阿克苏地区,温宿县,阿热勒镇
